|spot|pv|delta|gamma|
| - | - | - | - |
| 90   | 0.671318 | 0.249045  | 0.0713683 |
| 91   | 0.957597 | 0.326147  | 0.0825786 |
| 92   | 1.32629  | 0.413292  | 0.091275  |
| 93   | 1.786    | 0.507289  | 0.0961288 |
| 94   | 2.34152  | 0.603728  | 0.0960521 |
| 95   | 2.99273  | 0.697316  | 0.0903891 |
| 96   | 3.73395  | 0.782383  | 0.0790529 |
| 97   | 4.5539   | 0.853484  | 0.0625756 |
| 98   | 5.43616  | 0.905997  | 0.0420609 |
| 99   | 6.36033  | 0.936635  | 0.0190457 |
| 100  | 7.30349  | 0.0365155 | -3.63374  |
| 101  | 6.43331  | -0.863873 | 0.0182204 |
| 102  | 5.58119  | -0.835162 | 0.0387852 |
| 103  | 4.76764  | -0.787639 | 0.0557275 |
| 104  | 4.00954  | -0.725342 | 0.0682831 |
| 105  | 3.31944  | -0.652824 | 0.0761743 |
| 106  | 2.70525  | -0.574691 | 0.0795684 |
| 107  | 2.17038  | -0.495198 | 0.0789848 |
| 108  | 1.7143   | -0.417955 | 0.0751775 |
| 109  | 1.33326  | -0.345753 | 0.0690112 |
| 110  | 1.02115  | -0.280515 | 0.0613526 |


