|spot|value|
| ----- | ----------- |
| 70   | 20    |
| 71   | 20    |
| 72   | 20    |
| 73   | 20    |
| 74   | 20    |
| 75   | 20    |
| 76   | 20    |
| 77   | 20    |
| 78   | 20    |
| 79   | 20    |
| 80   | 20    |
| 81   | 19    |
| 82   | 18    |
| 83   | 17    |
| 84   | 16    |
| 85   | 15    |
| 86   | 14    |
| 87   | 13    |
| 88   | 12    |
| 89   | 11    |
| 90   | 10    |
| 91   | 9     |
| 92   | 8     |
| 93   | 7     |
| 94   | 6     |
| 95   | 5     |
| 96   | 4     |
| 97   | 3     |
| 98   | 2     |
| 99   | 1     |
| 100  | 0     |
| 101  | 0     |
| 102  | 0     |
| 103  | 0     |
| 104  | 0     |
| 105  | 0     |
| 106  | 0     |
| 107  | 0     |
| 108  | 0     |
| 109  | 0     |
| 110  | 0     |

